library,algorithm,output,runtime
openblas,		cblas_dswap,		0.180245,		12.555150
simdleblas,		cblas_dswap,		0.180245,		12.657321
mkl,       		cblas_dswap,		0.180245,		14.924682
openblas,		cblas_sswap,		0.180245,		6.169041
simdleblas,		cblas_sswap,		0.180245,		5.986933
mkl,       		cblas_sswap,		0.180245,		6.876939
openblas,		cblas_ssum,		4999082.500000,		2.317237
simdleblas,		cblas_ssum,		4999075.000000,		2.903532
mkl,       		cblas_ssum,		4999075.000000,		1.880688
openblas,		cblas_saxpy,		241.339813,		5.464711
simdleblas,		cblas_saxpy,		241.339813,		4.920109
mkl,       		cblas_saxpy,		241.339813,		5.506231
openblas,		cblas_idamax,		9632579,		10.173720
simdleblas,		cblas_idamax,		9632579,		5.183197
mkl,       		cblas_idamax,		9632579,		3.491880
openblas,		cblas_daxpy,		241.340039,		11.198573
simdleblas,		cblas_daxpy,		241.340039,		10.374979
mkl,       		cblas_daxpy,		241.340039,		11.039633
openblas,		cblas_ddot,		2499821.520630,		9.239611
simdleblas,		cblas_ddot,		2499821.520630,		8.280362
mkl,       		cblas_ddot,		2499821.520630,		9.395191
openblas,		cblas_scopy,		0.180245,		4.670828
simdleblas,		cblas_scopy,		0.180245,		4.952567
mkl,       		cblas_scopy,		0.180245,		4.258043
openblas,		cblas_sdot,		2499768.750000,		3.960419
simdleblas,		cblas_sdot,		2499131.750000,		4.013826
mkl,       		cblas_sdot,		2499821.250000,		4.546034
openblas,		cblas_isamax,		9632579,		5.040972
simdleblas,		cblas_isamax,		9632579,		2.578600
mkl,       		cblas_isamax,		9632579,		1.706710
openblas,		cblas_dcopy,		0.180245,		9.648656
simdleblas,		cblas_dcopy,		0.180245,		11.167216
mkl,       		cblas_dcopy,		0.180245,		8.410525
